Node	Module
L1	4
L2	2
L5	4
L10	4
L17	4
L24	4
L34	2
L36	2
L42	4
L66	5
L91	4
L94	4
L105	4
L26	2
L28	5
L38	2
L46	2
L58	5
L90	2
L102	2
L104	2
L106	2
L110	2
L3	0
L4	4
L7	0
L14	0
L15	3
L16	0
L48	0
L61	0
L65	0
L73	4
L75	4
L101	0
L107	0
L6	4
L12	4
L27	3
L41	4
L53	4
L59	5
L82	4
L85	4
L103	4
L29	4
L70	4
L109	1
L11	4
L98	5
L99	4
L108	4
L8	1
L33	0
L40	0
L56	2
L86	3
L9	1
L22	1
L23	1
L69	1
L74	4
L78	1
L79	1
L83	2
L112	1
L52	1
L25	4
L51	4
L13	3
L18	5
L19	3
L35	3
L37	5
L39	3
L44	3
L111	4
L55	3
L72	3
L100	3
L93	5
L115	4
L68	4
L21	5
L63	5
L88	5
L96	5
L97	5
L114	5
L20	2
L32	3
L43	5
L62	3
L30	2
L31	2
L45	5
L80	2
L95	2
L71	5
L76	5
L77	5
L47	4
L67	5
L54	4
L57	5
L64	5
L81	2
L92	5
L50	4
L60	5
L49	5
L87	5
L113	5
L84	4
L89	4
