Node	Module
L1	3
L2	6
L5	3
L10	3
L17	3
L24	3
L34	6
L36	6
L42	3
L66	0
L91	3
L94	3
L105	3
L26	6
L28	0
L38	6
L46	6
L58	0
L90	6
L102	6
L104	6
L106	6
L110	6
L3	1
L4	5
L7	1
L14	1
L15	4
L16	1
L48	1
L61	1
L65	1
L73	5
L75	5
L101	1
L107	1
L6	5
L12	3
L27	4
L41	5
L53	5
L59	0
L82	5
L85	5
L103	5
L29	3
L70	3
L109	3
L11	5
L98	0
L99	5
L108	5
L8	3
L33	1
L40	1
L56	6
L86	4
L9	3
L22	3
L23	3
L69	3
L74	2
L78	3
L79	3
L83	6
L112	3
L52	3
L25	3
L51	3
L13	4
L18	0
L19	4
L35	4
L37	4
L39	4
L44	4
L111	2
L55	4
L72	4
L100	4
L93	0
L115	2
L68	2
L21	0
L63	0
L88	0
L96	0
L97	0
L114	0
L20	6
L32	4
L43	4
L62	4
L30	6
L31	6
L45	0
L80	6
L95	6
L71	0
L76	0
L77	0
L47	2
L67	0
L54	2
L57	0
L64	0
L81	6
L92	0
L50	2
L60	0
L49	0
L87	0
L113	0
L84	2
L89	2
