Node	Module
L1	7
L2	1
L5	7
L10	7
L17	7
L24	7
L34	1
L36	3
L42	7
L66	5
L91	7
L94	7
L105	7
L26	1
L28	5
L38	1
L46	1
L58	2
L90	1
L102	3
L104	1
L106	1
L110	1
L3	4
L4	6
L7	4
L14	4
L15	3
L16	4
L48	4
L61	4
L65	4
L73	6
L75	6
L101	4
L107	4
L6	6
L12	7
L27	3
L41	6
L53	6
L59	5
L82	6
L85	6
L103	6
L29	7
L70	7
L109	7
L11	6
L98	5
L99	6
L108	6
L8	7
L33	4
L40	4
L56	3
L86	3
L9	7
L22	7
L23	7
L69	7
L74	0
L78	7
L79	7
L83	3
L112	7
L52	7
L25	7
L51	7
L13	3
L18	5
L19	3
L35	3
L37	3
L39	3
L44	3
L111	0
L55	3
L72	3
L100	3
L93	2
L115	0
L68	0
L21	5
L63	5
L88	5
L96	5
L97	5
L114	5
L20	3
L32	3
L43	3
L62	3
L30	3
L31	3
L45	2
L80	3
L95	3
L71	5
L76	2
L77	5
L47	0
L67	2
L54	0
L57	5
L64	5
L81	3
L92	2
L50	0
L60	5
L49	2
L87	2
L113	2
L84	0
L89	0
