Node	Module
L1	1
L2	2
L5	1
L10	1
L17	1
L24	1
L34	2
L36	0
L42	1
L66	5
L91	1
L94	1
L105	1
L26	2
L28	5
L38	2
L46	2
L58	8
L90	2
L102	0
L104	2
L106	2
L110	2
L3	6
L4	7
L7	6
L14	6
L15	3
L16	6
L48	6
L61	6
L65	6
L73	7
L75	7
L101	6
L107	6
L6	7
L12	1
L27	3
L41	7
L53	7
L59	8
L82	7
L85	7
L103	7
L29	1
L70	1
L109	1
L11	7
L98	8
L99	7
L108	7
L8	1
L33	6
L40	6
L56	0
L86	3
L9	1
L22	1
L23	1
L69	1
L74	4
L78	1
L79	1
L83	0
L112	1
L52	1
L25	1
L51	1
L13	3
L18	5
L19	3
L35	3
L37	3
L39	3
L44	3
L111	4
L55	3
L72	3
L100	3
L93	8
L115	4
L68	4
L21	5
L63	5
L88	5
L96	5
L97	5
L114	5
L20	0
L32	3
L43	3
L62	3
L30	0
L31	0
L45	8
L80	0
L95	0
L71	5
L76	8
L77	5
L47	4
L67	8
L54	4
L57	5
L64	8
L81	0
L92	8
L50	4
L60	8
L49	8
L87	8
L113	8
L84	4
L89	4
