Node	Module
L1	0
L2	1
L5	0
L10	0
L17	0
L24	0
L34	1
L36	5
L42	0
L66	6
L91	0
L94	0
L105	0
L26	1
L28	6
L38	1
L46	1
L58	7
L90	5
L102	5
L104	1
L106	1
L110	1
L3	2
L4	2
L7	2
L14	5
L15	5
L16	2
L48	2
L61	2
L65	2
L73	2
L75	2
L101	2
L107	5
L6	3
L12	0
L27	5
L41	3
L53	3
L59	6
L82	3
L85	3
L103	2
L29	0
L70	4
L109	0
L11	2
L98	3
L99	3
L108	3
L8	2
L33	2
L40	5
L56	5
L86	5
L9	0
L22	2
L23	0
L69	0
L74	4
L78	0
L79	0
L83	2
L112	0
L52	0
L25	4
L51	0
L13	5
L18	6
L19	5
L35	5
L37	5
L39	5
L44	5
L111	4
L55	5
L72	5
L100	5
L93	7
L115	4
L68	4
L21	6
L63	1
L88	6
L96	6
L97	6
L114	6
L20	5
L32	5
L43	5
L62	5
L30	5
L31	5
L45	7
L80	5
L95	5
L71	6
L76	7
L77	6
L47	4
L67	7
L54	4
L57	6
L64	6
L81	5
L92	7
L50	4
L60	6
L49	7
L87	7
L113	7
L84	4
L89	4
