Node	Module
L1	3
L2	3
L3	3
L4	3
L5	3
L6	3
L7	3
L8	3
L9	3
L10	3
L11	3
L12	3
L13	3
L14	3
L15	3
L16	3
L17	3
L18	3
L19	3
L20	3
L21	3
L22	3
L23	3
L24	3
L25	3
L26	3
L27	3
L28	3
L29	0
L30	3
L31	0
L32	0
L59	1
L72	0
L86	1
L33	3
L34	3
L36	3
L38	3
L41	3
L42	3
L43	3
L44	3
L45	3
L46	3
L47	3
L48	3
L49	2
L50	2
L51	1
L52	1
L53	1
L39	3
L40	3
L56	3
L57	3
L37	3
L55	3
L58	2
L78	0
L54	3
L67	0
L73	0
L68	1
L71	0
L74	0
L75	0
L76	0
L77	0
L80	0
L81	0
L83	0
L84	0
L85	0
L87	0
L94	0
L100	0
L79	0
L92	0
L35	3
L103	0
L65	1
L66	1
L70	1
L69	1
L60	0
L61	0
L62	0
L63	0
L64	0
L96	0
L102	0
L101	0
L89	0
L90	0
L91	0
L97	0
L98	0
L104	1
L105	1
L82	0
L88	0
L93	0
L95	0
L99	0
