Node	Module
L1	3
L2	3
L3	3
L4	2
L5	3
L6	3
L7	3
L8	3
L9	2
L10	2
L11	2
L12	2
L13	2
L14	2
L15	2
L16	2
L17	2
L18	2
L19	3
L20	2
L21	2
L22	2
L23	2
L24	2
L25	2
L26	2
L27	2
L28	2
L29	3
L30	3
L31	1
L32	1
L59	0
L72	1
L86	0
L33	2
L34	2
L36	2
L38	2
L41	2
L42	2
L43	2
L44	2
L45	2
L46	2
L47	2
L48	2
L49	4
L50	4
L51	0
L52	0
L53	0
L39	2
L40	2
L56	2
L57	2
L37	2
L55	2
L58	4
L78	1
L54	2
L67	1
L73	1
L68	0
L71	1
L74	1
L75	1
L76	1
L77	1
L80	1
L81	1
L83	1
L84	1
L85	1
L87	1
L94	1
L100	1
L79	1
L92	1
L35	2
L103	1
L65	0
L66	0
L70	0
L69	0
L60	1
L61	1
L62	1
L63	1
L64	1
L96	1
L102	1
L101	1
L89	1
L90	1
L91	1
L97	1
L98	1
L104	0
L105	0
L82	1
L88	1
L93	1
L95	1
L99	1
