Node	Module
L1	2
L2	2
L3	2
L4	1
L5	2
L6	2
L7	2
L8	2
L9	1
L10	1
L11	1
L12	1
L13	1
L14	1
L15	1
L16	1
L17	1
L18	1
L19	1
L20	1
L21	3
L22	1
L23	1
L24	1
L25	1
L26	1
L27	1
L28	1
L29	0
L30	2
L31	0
L32	0
L59	2
L72	0
L86	2
L33	1
L34	1
L36	1
L38	1
L41	1
L42	1
L43	1
L44	1
L45	1
L46	1
L47	1
L48	1
L49	3
L50	3
L51	1
L52	2
L53	2
L39	1
L40	1
L56	1
L57	1
L37	1
L55	1
L58	3
L78	0
L54	1
L67	0
L73	0
L68	2
L71	0
L74	0
L75	0
L76	0
L77	0
L80	0
L81	0
L83	0
L84	0
L85	0
L87	0
L94	0
L100	0
L79	0
L92	0
L35	1
L103	0
L65	2
L66	2
L70	2
L69	2
L60	0
L61	0
L62	0
L63	0
L64	0
L96	0
L102	0
L101	0
L89	0
L90	0
L91	0
L97	0
L98	0
L104	2
L105	2
L82	0
L88	0
L93	0
L95	0
L99	0
