Node	Module
L1	2
L2	2
L3	2
L4	3
L5	2
L6	2
L7	2
L8	2
L9	3
L10	3
L11	3
L12	3
L13	3
L14	3
L15	3
L16	3
L17	3
L18	3
L19	3
L20	3
L21	3
L22	3
L23	3
L24	3
L25	3
L26	3
L27	3
L28	3
L29	1
L30	2
L31	1
L32	1
L59	2
L72	1
L86	2
L33	3
L34	3
L36	3
L38	3
L41	3
L42	3
L43	3
L44	3
L45	3
L46	3
L47	3
L48	3
L49	0
L50	0
L51	3
L52	2
L53	2
L39	3
L40	3
L56	3
L57	3
L37	3
L55	3
L58	0
L78	1
L54	3
L67	1
L73	1
L68	2
L71	1
L74	1
L75	1
L76	1
L77	1
L80	1
L81	1
L83	1
L84	1
L85	1
L87	1
L94	1
L100	1
L79	1
L92	1
L35	3
L103	1
L65	2
L66	2
L70	2
L69	2
L60	1
L61	1
L62	1
L63	1
L64	1
L96	1
L102	1
L101	1
L89	1
L90	1
L91	1
L97	1
L98	1
L104	2
L105	2
L82	1
L88	1
L93	1
L95	1
L99	1
