Node	Module
L1	0
L2	0
L3	0
L4	0
L5	1
L6	0
L7	0
L8	1
L9	2
L10	2
L11	2
L12	2
L13	2
L14	2
L15	2
L16	0
L17	0
L18	2
L19	0
L20	0
L21	2
L22	2
L23	0
L24	2
L25	2
L26	0
L27	2
L28	2
L29	3
L30	0
L31	1
L32	3
L59	1
L72	1
L86	1
L33	2
L34	2
L36	2
L38	2
L41	2
L42	2
L43	2
L44	2
L45	2
L46	2
L47	2
L48	2
L49	2
L50	1
L51	2
L52	0
L53	0
L39	2
L40	2
L56	2
L57	2
L37	2
L55	2
L58	2
L78	1
L54	2
L67	3
L73	3
L68	1
L71	1
L74	3
L75	3
L76	3
L77	3
L80	3
L81	3
L83	3
L84	3
L85	3
L87	3
L94	3
L100	3
L79	3
L92	3
L35	2
L103	3
L65	1
L66	1
L70	1
L69	1
L60	3
L61	3
L62	3
L63	3
L64	3
L96	3
L102	3
L101	3
L89	3
L90	3
L91	3
L97	3
L98	3
L104	1
L105	1
L82	3
L88	3
L93	3
L95	3
L99	3
